#{"t_start": 1775617342.4395812, "env_id": "None"}
r,l,t
-0.028729,100,10.163965
-0.032112,100,10.325882
-0.031714,100,10.465296
-0.033005,100,10.586331
-0.038487,100,10.746555
-0.033345,100,20.744118
-0.025455,100,20.889925
-0.028908,100,21.000013
-0.026285,100,21.112282
-0.031796,100,21.218823
-0.038406,100,27.590976
-0.035968,100,27.708252
-0.036145,100,27.822058
-0.029109,100,27.947316
-0.03284,100,28.051013
-0.025002,100,34.054002
-0.038648,100,34.159177
-0.024156,100,34.256155
-0.030081,100,34.351104
-0.028626,100,34.447281
-0.029188,100,41.382106
-0.022221,100,41.527793
-0.029248,100,41.637663
-0.024664,100,41.750124
-0.02222,100,41.850333
-0.025694,100,49.696434
-0.026305,100,49.813151
-0.023404,100,49.92912
-0.020949,100,50.044284
-0.027905,100,50.158029
-0.028789,100,56.495868
-0.023434,100,56.614234
-0.023584,100,56.733719
-0.022281,100,56.84967
-0.023882,100,56.969536
-0.020437,100,64.311854
-0.023086,100,64.440319
-0.019736,100,64.562019
-0.020147,100,64.69614
-0.024511,100,64.817958
-0.018152,100,71.452829
-0.026646,100,71.539844
-0.016842,100,71.628013
-0.022344,100,71.718186
-0.019758,100,71.802852
-0.020297,100,78.866839
-0.020244,100,78.972385
-0.022167,100,79.075853
-0.020784,100,79.176764
-0.021628,100,79.275971
-0.015594,100,85.432129
-0.017756,100,85.55885
-0.020382,100,85.724199
-0.019138,100,85.864853
-0.019421,100,85.985889
-0.023967,100,91.718832
-0.016196,100,91.809355
-0.020504,100,91.916476
-0.019662,100,92.011595
-0.020734,100,92.121533
-0.021363,100,99.265709
-0.01649,100,99.381204
-0.020345,100,99.50673
-0.017569,100,99.638331
-0.021827,100,99.752054
-0.021621,100,106.32032
-0.022001,100,106.455667
-0.019226,100,106.580764
-0.021695,100,106.750068
-0.019966,100,106.915546
-0.018052,100,113.690929
-0.022314,100,113.810314
-0.024299,100,113.940068
-0.018383,100,114.061323
-0.024686,100,114.167426
-0.025319,100,119.734777
-0.019887,100,119.835193
-0.020048,100,119.940426
-0.018479,100,120.048651
-0.019099,100,120.146405
-0.019963,100,126.836875
-0.018171,100,127.020026
-0.017924,100,127.148857
-0.025377,100,127.273292
-0.022821,100,127.388408
-0.017521,100,134.17069
-0.022847,100,134.267561
-0.02103,100,134.367958
-0.018453,100,134.464811
-0.020434,100,134.566177
-0.020843,100,140.832324
-0.021476,100,140.936261
-0.019701,100,141.043023
-0.018105,100,141.147757
-0.022914,100,141.252218
-0.017971,100,148.010893
-0.019374,100,148.16091
-0.023962,100,148.290896
-0.017824,100,148.399227
-0.02538,100,148.50397
-0.019164,100,154.116371
-0.0177,100,154.21853
-0.022135,100,154.322164
-0.021144,100,154.424785
-0.016759,100,154.524854
-0.019886,100,161.303709
-0.019487,100,161.411267
-0.021256,100,161.513284
-0.018466,100,161.61167
-0.018699,100,161.722165
-0.017346,100,167.940139
-0.018783,100,168.048536
-0.018858,100,168.154371
-0.01911,100,168.261858
-0.022345,100,168.367476
-0.018015,100,174.534813
-0.023576,100,174.655768
-0.020873,100,174.76563
-0.020857,100,174.873019
-0.021087,100,174.981827
-0.021326,100,181.509879
-0.024786,100,181.623744
-0.018531,100,181.736604
-0.024542,100,181.843928
-0.016762,100,181.954247
-0.020463,100,186.842078
-0.0235,100,186.939147
-0.022245,100,187.028709
-0.018209,100,187.124711
-0.017767,100,187.220437
-0.02256,100,193.900351
-0.017945,100,194.043126
-0.018233,100,194.188229
-0.025076,100,194.336499
-0.020786,100,194.474997
-0.018252,100,200.781821
-0.021351,100,200.881206
-0.020244,100,200.985152
-0.02637,100,201.088942
-0.017871,100,201.191669
-0.02264,100,207.05038
-0.027823,100,207.149631
-0.019538,100,207.245119
-0.019817,100,207.351964
-0.019706,100,207.455951
-0.021202,100,213.917787
-0.018335,100,214.02528
-0.026741,100,213.399496
-0.017551,100,213.508666
-0.018056,100,213.612626
-0.019213,100,220.290317
-0.021787,100,220.395884
-0.021941,100,220.500571
-0.025909,100,220.608793
-0.02203,100,220.717806
-0.017671,100,227.559536
-0.02136,100,227.665832
-0.023811,100,227.775431
-0.016991,100,227.884733
-0.02239,100,228.00419
-0.01947,100,233.463416
-0.024891,100,233.563742
-0.019815,100,233.66159
-0.019175,100,233.760826
-0.019384,100,233.861532
-0.017813,100,239.838475
-0.018681,100,239.940237
-0.016571,100,240.041554
-0.019672,100,240.140331
-0.016321,100,240.242346
-0.018784,100,246.35479
-0.017716,100,246.451516
-0.017443,100,246.552463
-0.019841,100,246.661728
-0.02455,100,246.76977
-0.017891,100,253.461513
-0.018964,100,253.595193
-0.022861,100,253.716409
-0.021831,100,253.823895
-0.021137,100,253.927396
-0.023527,100,260.234922
-0.0177,100,260.353998
-0.0188,100,260.465349
-0.019278,100,260.593451
-0.020456,100,260.707838
-0.019675,100,267.053816
-0.024989,100,267.154305
-0.027756,100,267.257149
-0.017653,100,267.361818
-0.017011,100,267.464161
-0.01956,100,275.261734
-0.020844,100,275.401726
-0.01819,100,275.525855
-0.024014,100,275.699378
-0.019082,100,275.855537
-0.020036,100,282.70533
-0.024005,100,282.799178
-0.017285,100,282.905427
-0.020027,100,283.010427
-0.019922,100,283.111618
-0.018179,100,289.229478
-0.019308,100,289.335599
-0.01654,100,289.434268
-0.019608,100,289.535672
-0.0184,100,289.646826
-0.017941,100,295.681221
-0.025341,100,295.77708
-0.019173,100,295.885049
-0.023799,100,295.974736
-0.019309,100,296.069705
-0.017897,100,300.477487
-0.021745,100,300.600315
-0.0188,100,300.69646
-0.02075,100,300.783841
-0.020096,100,300.873119
-0.025343,100,306.985357
-0.022243,100,307.091354
-0.022821,100,307.190715
-0.023632,100,307.285166
-0.021966,100,307.379731
-0.019116,100,313.081133
-0.020599,100,313.186489
-0.019231,100,313.297886
-0.020699,100,313.408509
-0.021632,100,313.514381
-0.029613,100,319.752625
-0.021718,100,319.871049
-0.021357,100,319.983475
-0.024817,100,320.088153
-0.019207,100,320.19891
-0.020838,100,326.413884
-0.02163,100,326.525484
-0.019686,100,326.646999
-0.021296,100,326.829704
-0.018651,100,326.965184
-0.021609,100,333.250322
-0.017625,100,333.355132
-0.025476,100,333.468031
-0.021096,100,333.575823
-0.019369,100,333.687319
-0.019471,100,339.581709
-0.022147,100,339.717149
-0.020722,100,339.837691
-0.022551,100,339.947897
-0.019513,100,340.055848
-0.019098,100,346.957628
-0.019636,100,347.074966
-0.018587,100,347.184335
-0.019787,100,347.312493
-0.021622,100,347.429929
5063
-0.023637,100,99.088858
-0.021417,100,99.984102
-0.022852,100,100.189932
-0.022906,100,100.374514
-0.022151,100,100.58792
-0.026212,100,100.837018
-0.01729,100,101.056557
-0.019065,100,103.409829
-0.02237,100,103.638433
-0.022427,100,103.848788
-0.023156,100,104.040298
-0.017865,100,104.255163
-0.019423,100,104.482379
-0.024283,100,104.716259
-0.021368,100,104.943175
-0.022302,100,105.15291
-0.021818,100,105.35273
-0.018246,100,105.559089
-0.02155,100,105.752772
-0.020427,100,105.986868
-0.022469,100,106.202271
-0.018892,100,107.16402
-0.027712,100,107.355704
-0.020892,100,107.560433
-0.019186,100,107.778385
-0.022708,100,107.982356
-0.023978,100,108.195284
-0.025627,100,110.714107
-0.025563,100,110.923311
-0.023434,100,111.18729
-0.022883,100,111.503841
-0.022538,100,111.762347
-0.019488,100,111.981277
-0.019883,100,112.227235
-0.021984,100,112.414669
-0.024556,100,112.597499
-0.019835,100,112.791774
-0.019548,100,112.977963
-0.020961,100,113.179366
-0.020535,100,113.398039
-0.024133,100,113.589239
-0.02036,100,114.380909
-0.021775,100,114.569758
-0.023128,100,114.754653
-0.024234,100,114.939007
-0.020444,100,115.131705
-0.022578,100,115.367548
-0.023661,100,115.592851
-0.021161,100,118.067615
-0.022285,100,118.245147
-0.02059,100,118.469387
-0.020586,100,118.694726
-0.024653,100,118.87936
-0.019799,100,119.062426
-0.022721,100,119.25975
-0.025368,100,118.737797
-0.024987,100,118.919182
-0.020361,100,119.09626
